F1,grid_path
AN,"['JEADBABB', 'JEADBABD', 'JEADBADB', 'JEADBADD', 'JEADBBCC', 'JEADBDAA', 'JEADBDAB', 'JEADBDAD', 'JEADBDCB', 'JEADBDDA', 'JEADBDDC', 'JEADDBBA', 'JEADDBBB', 'JEBCCAAC', 'JEBCCACA', 'JEBCCACC', 'JEBCCACD', 'JEBCCCAB', 'JEBCCCAD', 'JEBCCCCB', 'JEBCCCDA', 'JEBCCCDC', 'JEDAAABA', 'JEDAAABB', 'JEDAABAC', 'JEDAABAD', 'JEDAABCB', 'JEDAABCD', 'JEDAABDC', 'JEDAADBA', 'JEDAADBC', 'JEDAADBD', 'JEDAADDB', 'JEDAADDD', 'JEDABCCC', 'JEDADAAA', 'JEDADAAB', 'JEDADAAD', 'JEDADABC', 'JEDADABD', 'JEDADBAC', 'JEDADBCA', 'JEDADBCB', 'JEDADBDA', 'JEDADBDB', 'JEDBCACA', 'JEDBCACB', 'JEDBCADA', 'JEDBCADB', 'JEDBCADD', 'JEDBCBCC', 'JEDBCBCD', 'JEDBCDAB', 'JEDBCDBA', 'JEDBCDBC', 'JEDBCDBD', 'JEDBCDDB', 'JEDBDCCA', 'JEDBDCCB', 'JEDBDCDA', 'JEDBDCDB', 'JEDBDDCA', 'JEDBDDCB', 'JEDBDDDA', 'JEDBDDDB', 'JFCACCCA', 'JFCACCCB', 'JFCACCDA', 'JFCACCDB', 'JFCACCBD', 'JFCACDAC', 'JFCACDAD', 'JFCACDAB', 'JFCACDBA', 'JFCACDBB', 'JFCADCAA', 'JFCADCAB', 'JFCADCAD', 'JFCADCBC', 'JFCADCBA', 'JFCADCBB', 'JFCADDAA', 'JFCADDAB', 'JFCADDBA', 'JFCADDBB', 'JFCADDBD', 'JFCBCCCA', 'JFCBCCCC', 'JFCBCCCD', 'JFCDAAAB', 'JFCDAABA', 'JFCDAABB', 'JFCDAABD', 'JFCDABAC', 'JFCDABCA', 'JFCDABCB', 'JFCDABCD', 'JFCDABDC', 'JFCDABDD', 'JFCDBACC', 'JFCDBCAA', 'JFCDBCAB', 'JFCDBCAD', 'JFCDBCBC', 'JFCDBCDA', 'JFCDBCDB', 'JFCDBDCA', 'JFCDBDCB']"
AN,"['JFDCACBC', 'JFDCACBD', 'JFDCADAC', 'JFDCADBA', 'IFDBBACC', 'IFDBABDD', 'IFDBADBB', 'IFDBADBA', 'IFDBADDA']"
AN,"['IFDBBCBA', 'IFDBBCBB', 'IFDBBCBD']"
AN,"['IGACABBC', 'IGACABAD']"
AN,"['JEABBADC', 'KECDDBAA', 'KECDADCC', 'KECDACDD', 'KECDACDC', 'KECDACCD', 'KECDCAAB', 'KECDCAAA', 'KECCDBBC', 'KECCDBBA', 'KECCBCBC', 'KECCBCAB', 'KECCBACD', 'KECCBACC', 'KECCBACA', 'KECCBAAC', 'KECCBAAA']"
N,['KECABBAA']
N,['KECABBAA']
N,['KECABBAA']
N,"['KEACDDCD', 'KECABBAA']"
N,['KECABBAA']
